"Year","Month","Episode","ST","State","Region","Event","BeginDateTime","InjuriesDirect","InjuriesIndirect","DeathsDirect","DeathsIndirect","Lat","Long","Decade","TotalFatalities","TotalInjuries","TotalCasualties","COMUsed"
1950,2,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-02-12 14:20:00,10,0,5,0,32.8,-93.23,"1950s",5,10,15,FALSE
1950,7,NA,"CT","CONNECTICUT","NewEngland","Tornado",1950-07-14 06:30:00,3,0,0,0,41.27,-73.5,"1950s",0,3,3,FALSE
1950,12,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1950-12-02 15:15:00,3,0,1,0,39,-89.92,"1950s",1,3,4,FALSE
1950,12,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1950-12-02 16:00:00,25,0,2,0,38.8,-89.6,"1950s",2,25,27,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-08 21:17:00,1,0,0,0,39.4,-97.65,"1950s",0,1,1,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-18 19:00:00,2,0,0,0,38.12,-96.82,"1950s",0,2,2,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-24 13:30:00,1,0,0,0,37.27,-99.48,"1950s",0,1,1,FALSE
1950,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-06-08 20:15:00,5,0,1,0,38.33,-97.92,"1950s",1,5,6,FALSE
1950,3,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-03-27 06:00:00,2,0,0,0,32.63,-91.28,"1950s",0,2,2,FALSE
1950,5,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-05-01 11:25:00,7,0,0,0,31.55,-92.9,"1950s",0,7,7,FALSE
1950,5,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-05-01 11:30:00,2,0,0,0,31.38,-91.73,"1950s",0,2,2,FALSE
1950,5,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-05-02 02:00:00,1,0,0,0,31.72,-92.83,"1950s",0,1,1,FALSE
1950,5,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-05-02 03:00:00,5,0,1,0,31.55,-91.97,"1950s",1,5,6,FALSE
1950,5,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-05-29 23:00:00,13,0,0,0,32.1,-93.9,"1950s",0,13,13,FALSE
1950,6,NA,"GA","GEORGIA","SouthSouthAtlantic","Tornado",1950-06-04 08:00:00,1,0,0,0,33.85,-84.25,"1950s",0,1,1,FALSE
1950,2,NA,"TN","TENNESSEE","SouthEastSC","Tornado",1950-02-13 01:00:00,8,0,0,0,35.35,-89.77,"1950s",0,8,8,FALSE
1950,2,NA,"TN","TENNESSEE","SouthEastSC","Tornado",1950-02-13 02:00:00,1,0,9,0,35.75,-89.48,"1950s",9,1,10,FALSE
1950,7,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-07-01 12:00:00,1,0,0,0,39.3,-96.92,"1950s",0,1,1,FALSE
1950,1,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1950-01-03 11:55:00,3,0,0,0,39.1,-89.3,"1950s",0,3,3,FALSE
1950,6,NA,"WI","WISCONSIN","MidwestEastNC","Tornado",1950-06-25 21:00:00,0,0,1,0,44.83,-90.35,"1950s",1,0,1,FALSE
1950,6,NA,"WI","WISCONSIN","MidwestEastNC","Tornado",1950-06-25 21:00:00,12,0,2,0,45.58,-89.58,"1950s",2,12,14,FALSE
1951,6,NA,"MI","MICHIGAN","MidwestEastNC","Tornado",1951-06-01 18:00:00,1,0,0,0,42.75,-84.75,"1950s",0,1,1,FALSE
1951,2,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-02-19 18:30:00,5,0,0,0,35.27,-98.18,"1950s",0,5,5,FALSE
1951,4,NA,"NJ","NEW JERSEY","MidAtlantic","Tornado",1951-04-29 18:15:00,2,0,0,0,40.9,-74.6,"1950s",0,2,2,FALSE
1951,5,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1951-05-11 13:30:00,1,0,0,0,40.12,-79.12,"1950s",0,1,1,FALSE
1951,5,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1951-05-30 14:34:00,7,0,0,0,41.9,-103.5,"1950s",0,7,7,FALSE
1951,6,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1951-06-25 15:30:00,1,0,0,0,41.1,-103.05,"1950s",0,1,1,FALSE
1951,4,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-04-05 13:22:00,2,0,0,0,35.23,-97.72,"1950s",0,2,2,FALSE
1951,4,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-04-05 16:45:00,2,0,0,0,36.53,-98.92,"1950s",0,2,2,FALSE
1951,4,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-04-27 14:20:00,2,0,0,0,36.33,-98.2,"1950s",0,2,2,FALSE
1951,5,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-05-09 20:20:00,1,0,0,0,34.12,-96.52,"1950s",0,1,1,FALSE
1951,6,NA,"TX","TEXAS","SouthWestSC","Tornado",1951-06-06 20:06:00,12,0,0,0,35.43,-101.18,"1950s",0,12,12,FALSE
1951,6,NA,"TX","TEXAS","SouthWestSC","Tornado",1951-06-15 22:20:00,6,0,0,0,32.45,-100.02,"1950s",0,6,6,FALSE
1951,6,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-06-07 18:15:00,1,0,0,0,36.45,-95.75,"1950s",0,1,1,FALSE
1951,6,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-06-07 22:55:00,1,0,0,0,35.57,-95.27,"1950s",0,1,1,FALSE
1951,8,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1951-08-10 13:57:00,2,0,0,0,35.8,-97.2,"1950s",0,2,2,FALSE
1951,7,NA,"MO","MISSOURI","MidwestWestNC","Tornado",1951-07-04 01:00:00,1,0,0,0,37.15,-94.47,"1950s",0,1,1,FALSE
1951,11,NA,"MO","MISSOURI","MidwestWestNC","Tornado",1951-11-13 13:30:00,1,0,0,0,36.62,-89.75,"1950s",0,1,1,FALSE
1951,6,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1951-06-19 17:30:00,11,0,0,0,44.88,-94.37,"1950s",0,11,11,FALSE
1951,6,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1951-06-19 19:00:00,9,0,1,0,45.2,-93.38,"1950s",1,9,10,FALSE
1951,7,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1951-07-20 21:00:00,40,0,5,0,44.93,-93.5,"1950s",5,40,45,FALSE
1951,11,NA,"KY","KENTUCKY","SouthEastSC","Tornado",1951-11-13 17:50:00,11,0,1,0,37.02,-88.33,"1950s",1,11,12,FALSE
1951,2,NA,"AL","ALABAMA","SouthEastSC","Tornado",1951-02-20 16:00:00,2,0,0,0,33.67,-87.7,"1950s",0,2,2,FALSE
1951,6,NA,"AL","ALABAMA","SouthEastSC","Tornado",1951-06-08 09:00:00,2,0,0,0,34.97,-86.43,"1950s",0,2,2,FALSE
1951,11,NA,"AL","ALABAMA","SouthEastSC","Tornado",1951-11-15 15:00:00,2,0,0,0,34.2,-86.7,"1950s",0,2,2,FALSE
1951,11,NA,"AL","ALABAMA","SouthEastSC","Tornado",1951-11-15 20:00:00,6,0,0,0,34.83,-87.8,"1950s",0,6,6,FALSE
1951,11,NA,"AL","ALABAMA","SouthEastSC","Tornado",1951-11-16 01:00:00,1,0,0,0,34.08,-86.52,"1950s",0,1,1,FALSE
1951,8,NA,"CT","CONNECTICUT","NewEngland","Tornado",1951-08-21 16:15:00,9,0,0,0,41.62,-73.42,"1950s",0,9,9,FALSE
1951,9,NA,"MI","MICHIGAN","MidwestEastNC","Tornado",1951-09-26 21:00:00,3,0,1,0,43.78,-85.87,"1950s",1,3,4,FALSE
1951,5,NA,"FL","FLORIDA","SouthSouthAtlantic","Tornado",1951-05-26 09:30:00,0,0,3,0,29.85,-84.68,"1950s",3,0,3,FALSE
1951,2,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1951-02-20 15:00:00,1,0,1,0,33.45,-88.87,"1950s",1,1,2,FALSE
1951,4,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1951-04-21 19:25:00,10,0,2,0,31.68,-89.25,"1950s",2,10,12,FALSE
1951,4,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1951-04-21 19:40:00,6,0,0,0,31.8,-89.2,"1950s",0,6,6,FALSE
1951,2,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1951-02-20 09:15:00,3,0,0,0,34.6,-92.02,"1950s",0,3,3,FALSE
1951,10,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1951-10-23 03:00:00,4,0,0,0,35,-93.5,"1950s",0,4,4,FALSE
1951,8,NA,"CT","CONNECTICUT","NewEngland","Tornado",1951-08-21 16:30:00,8,0,0,0,41.58,-72.5,"1950s",0,8,8,FALSE
1951,6,NA,"CO","COLORADO","WestMountain","Tornado",1951-06-06 13:30:00,1,0,0,0,38.73,-103.58,"1950s",0,1,1,FALSE
1951,6,NA,"CO","COLORADO","WestMountain","Tornado",1951-06-25 17:45:00,1,0,0,0,40.85,-102.5,"1950s",0,1,1,FALSE
1951,3,NA,"IN","INDIANA","MidwestEastNC","Tornado",1951-03-29 18:30:00,2,0,0,0,39.78,-85.77,"1950s",0,2,2,FALSE
1951,6,NA,"IN","INDIANA","MidwestEastNC","Tornado",1951-06-21 19:50:00,2,0,0,0,41.12,-86.48,"1950s",0,2,2,FALSE
1951,6,NA,"IN","INDIANA","MidwestEastNC","Tornado",1951-06-21 20:00:00,2,0,0,0,41.12,-86.42,"1950s",0,2,2,FALSE
1951,7,NA,"SD","SOUTH DAKOTA","MidwestWestNC","Tornado",1951-07-08 20:00:00,1,0,0,0,45.37,-96.83,"1950s",0,1,1,FALSE
1951,7,NA,"SD","SOUTH DAKOTA","MidwestWestNC","Tornado",1951-07-20 18:15:00,4,0,0,0,44.9,-96.08,"1950s",0,4,4,FALSE
1951,5,NA,"TX","TEXAS","SouthWestSC","Tornado",1951-05-18 15:45:00,100,0,2,0,33.42,-98.75,"1950s",2,100,102,FALSE
1951,5,NA,"TX","TEXAS","SouthWestSC","Tornado",1951-05-24 17:00:00,0,0,1,0,33.37,-99.9,"1950s",1,0,1,FALSE
1951,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-06-06 16:30:00,3,0,0,0,37.58,-101.33,"1950s",0,3,3,FALSE
1951,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-06-06 19:30:00,3,0,0,0,37.58,-101.37,"1950s",0,3,3,FALSE
1951,6,NA,"IA","IOWA","MidwestWestNC","Tornado",1951-06-01 21:15:00,7,0,0,0,42.07,-92.92,"1950s",0,7,7,FALSE
1951,6,NA,"IA","IOWA","MidwestWestNC","Tornado",1951-06-25 17:07:00,8,0,0,0,43.22,-93.8,"1950s",0,8,8,FALSE
1951,7,NA,"IA","IOWA","MidwestWestNC","Tornado",1951-07-17 17:45:00,2,0,0,0,43.18,-95.87,"1950s",0,2,2,FALSE
1951,4,NA,"OH","OHIO","MidwestEastNC","Tornado",1951-04-28 20:55:00,5,0,0,0,41,-83.67,"1950s",0,5,5,FALSE
1951,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-06-23 22:00:00,0,0,1,0,37.12,-101.62,"1950s",1,0,1,FALSE
1951,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-06-23 22:00:00,5,0,1,0,37.18,-101.35,"1950s",1,5,6,FALSE
1951,6,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-06-27 00:10:00,100,0,5,0,39.03,-99.88,"1950s",5,100,105,FALSE
1951,6,NA,"WV","WEST VIRGINIA","SouthSouthAtlantic","Tornado",1951-06-26 14:45:00,1,0,0,0,39.13,-81.7,"1950s",0,1,1,FALSE
1951,6,NA,"VA","VIRGINIA","SouthSouthAtlantic","Tornado",1951-06-13 15:05:00,12,0,0,0,37.55,-77.48,"1950s",0,12,12,FALSE
1951,6,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1951-06-27 19:30:00,35,0,0,0,39.95,-89.17,"1950s",0,35,35,FALSE
1951,6,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1951-06-27 20:45:00,15,0,1,0,40.27,-89.47,"1950s",1,15,16,FALSE
1951,11,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1951-11-13 14:50:00,7,0,0,0,37.9,-89.53,"1950s",0,7,7,FALSE
1951,12,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1951-12-06 18:00:00,1,0,1,0,41.33,-89.18,"1950s",1,1,2,FALSE
1951,9,NA,"WI","WISCONSIN","MidwestEastNC","Tornado",1951-09-12 11:48:00,1,0,0,0,44.68,-92.03,"1950s",0,1,1,FALSE
1951,9,NA,"WI","WISCONSIN","MidwestEastNC","Tornado",1951-09-26 16:08:00,3,0,6,0,44.37,-89.22,"1950s",6,3,9,FALSE
1951,9,NA,"WI","WISCONSIN","MidwestEastNC","Tornado",1951-09-26 16:30:00,9,0,1,0,43.47,-89.25,"1950s",1,9,10,FALSE
1951,1,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1951-01-06 17:30:00,11,0,0,0,31.3,-92.47,"1950s",0,11,11,FALSE
1951,4,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1951-04-21 14:00:00,2,0,0,0,31.72,-92.25,"1950s",0,2,2,FALSE
1951,4,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1951-04-21 14:00:00,1,0,0,0,32.33,-92.32,"1950s",0,1,1,FALSE
1951,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-05-14 19:30:00,4,0,0,0,39.78,-101.33,"1950s",0,4,4,FALSE
1951,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1951-05-25 16:00:00,0,0,1,0,39.27,-97.18,"1950s",1,0,1,FALSE
1952,4,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1952-04-05 12:15:00,4,0,0,0,39.8,-76.98,"1950s",0,4,4,FALSE
1952,4,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1952-04-05 13:00:00,6,0,0,0,40.23,-76.8,"1950s",0,6,6,FALSE
1952,7,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1952-07-23 12:30:00,4,0,0,0,40.62,-77.57,"1950s",0,4,4,FALSE
1952,6,NA,"ND","NORTH DAKOTA","MidwestWestNC","Tornado",1952-06-15 16:00:00,1,0,0,0,47.4,-99.55,"1950s",0,1,1,FALSE
1952,7,NA,"MT","MONTANA","WestMountain","Tornado",1952-07-19 18:30:00,2,0,1,0,46.97,-104.25,"1950s",1,2,3,FALSE
1952,8,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1952-08-13 17:45:00,1,0,0,0,41.35,-97.17,"1950s",0,1,1,FALSE
1952,8,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1952-08-13 19:00:00,20,0,0,0,41.22,-96.58,"1950s",0,20,20,FALSE
1952,7,NA,"ND","NORTH DAKOTA","MidwestWestNC","Tornado",1952-07-01 18:00:00,25,0,1,0,47.05,-100.5,"1950s",1,25,26,FALSE
1952,7,NA,"ND","NORTH DAKOTA","MidwestWestNC","Tornado",1952-07-01 18:36:00,1,0,0,0,47.15,-100.1,"1950s",0,1,1,FALSE
